Issuer/Borrower Name;"Nation
Region
Description";Matched Region
Munjal Hospitality Pvt Ltd;"Asia-Pacific (ex Central Asia)
South Asia";Asia
ICON Health & Fitness Inc;"Americas
North America";North America
Jong Shyn Shipbuilding Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Fytexia SAS;"Europe
Western Europe";Western Europe
Westway Feed Products LLC;"Americas
North America";North America
SF Hldg Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
US Infrastructure Corp;"Americas
North America";North America
SmartBear Software Inc;"Americas
North America";North America
Mehilainen Oy;"Europe
Western Europe";Western Europe
Duluth Holdings Inc;"Americas
North America";North America
Premier Research Acq Corp;"Europe
Western Europe";Western Europe
RXR SOYO Exalta;"Americas
North America";North America
Bulk Barn Foods Ltd;"Americas
North America";North America
Western's Smokehouse LLC;"Americas
North America";North America
Mtg Co Of Canada Inc;"Americas
North America";North America
Great River Energy;"Americas
North America";North America
Greiner Packaging;"Europe
Western Europe";Western Europe
Hawaiian Electric Co Inc;"Americas
North America";North America
Hawaiian Electric Industries;"Americas
North America";North America
JTM Foods LLC;"Americas
North America";North America
John Soules Foods Inc;"Americas
North America";North America
Landmark Dividend LLC;"Americas
North America";North America
Success Foods Mgmt Grp LLC;"Americas
North America";North America
Far W Svcs Llc;"Americas
North America";North America
NGR Finance Pty Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
MGP Ingredients Inc;"Americas
North America";North America
Micron Technology Inc;"Americas
North America";North America
Agero Inc;"Americas
North America";North America
Auto-Vehicle Parts Co;"Americas
North America";North America
Skysea Flyer Sl;"Europe
Western Europe";Western Europe
Arco Holdings Parent Inc;"Americas
North America";North America
Tfl Intl Gmbh;"Europe
Western Europe";Western Europe
Servicios de Compresion;"Americas
Central America";Latin America
Tidal Power Holdings LLC;"Americas
North America";North America
Winecredit Llc;"Americas
North America";North America
TGNR RBLCO LLC;"Americas
North America";North America
Sonnedix Meseta De Los Andes;"Americas
South America";Latin America
Olam Holdings BV;"Europe
Western Europe";Western Europe
vitronet Gmbh;"Europe
Western Europe";Western Europe
Chanel Limited;"Europe
Western Europe";Western Europe
Zhangjiagang City Invest And;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Suzhou Shangyuan Intelligent;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Eros Energy Sl;"Europe
Western Europe";Western Europe
Precision Aviation Group Inc;"Americas
North America";North America
Rino Mastrotto Group SpA;"Europe
Western Europe";Western Europe
Portfolio Gen Mgmt Grp Inc;"Americas
North America";North America
Bidnexus Ltd;"Europe
Western Europe";Western Europe
Land Newco Inc;"Americas
North America";North America
Dream Industrial LP;"Americas
North America";North America
Yancey Bros Co;"Americas
North America";North America
Termosolar Alvarado;"Europe
Western Europe";Western Europe
DHT Holdings Inc;"Americas
Caribbean";Latin America
Diana Shipping Inc;"Europe
Western Europe";Western Europe
ICP Construction Inc;"Americas
North America";North America
Clark Equipment Co;"Americas
North America";North America
WM Barr & Co Inc;"Americas
North America";North America
Carriage Services Inc;"Americas
North America";North America
Cisco Systems Inc;"Americas
North America";North America
Healogics Inc;"Americas
North America";North America
Novy Urengoy Airport;"Eastern Europe
Europe";Central and Eastern Europe
Reserve At Canyon Creek TIC 1;"Americas
North America";North America
Sun Yuan Construction Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Raglan Housing Association Ltd;"Europe
Western Europe";Western Europe
Intertek Group PLC;"Europe
Western Europe";Western Europe
Transportes Boyaca SL;"Europe
Western Europe";Western Europe
Grupo Bc Global Svcs Sl;"Europe
Western Europe";Western Europe
West Medway II LLC;"Americas
North America";North America
3820 Chiles Owner LLC;"Americas
North America";North America
Obrascon Huarte Lain SA;"Europe
Western Europe";Western Europe
Kaiping Sihang Constr Invest;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Everbright Centre Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Han Sung Investment Limited;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Telecom Italia SpA;"Europe
Western Europe";Western Europe
Ventos De Santo Artur;"Americas
South America";Latin America
SIBUR Holding PJSC;"Eastern Europe
Europe";Central and Eastern Europe
Eureka Hunter Pipeline LLC;"Americas
North America";North America
Australasian Foods Bidco Pty;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Trident Tech Llc;"Americas
North America";North America
Pcif Nl3 Sarl;"Europe
Western Europe";Western Europe
Therapy Brands Holdings LLC;"Americas
North America";North America
Coronado Fin Pty Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Amer Campus Communities Inc;"Americas
North America";North America
American Campus Communities;"Americas
North America";North America
Arnoldo Mondadori Editore SpA;"Europe
Western Europe";Western Europe
Barrick Gold Corp;"Americas
North America";North America
Fade Bidco GmbH;"Europe
Western Europe";Western Europe
Cardinal Energy Ltd;"Americas
North America";North America
Crew Energy Inc;"Americas
North America";North America
Nordic Transport Group A/S;"Europe
Western Europe";Western Europe
Relativity ODA LLC;"Americas
North America";North America
Womob Hldg 1 Llc;"Americas
North America";North America
Smart Meter Assets No 1 Ltd;"Europe
Western Europe";Western Europe
Bleriot Aviation Funding;"Europe
Western Europe";Western Europe
Linde + Wiemann GmbH & Co KG;"Europe
Western Europe";Western Europe
Viterra Global Fin B.V.;"Europe
Western Europe";Western Europe
Dutch Bros Llc;"Americas
North America";North America
Telodys;"Europe
Western Europe";Western Europe
Smile Telecoms Hldg Ltd;"Africa/Middle East/Central Asia
Sub-Saharan Africa";Africa
NSF International;"Americas
North America";North America
San Jacinto Minerals Ii LLC;"Americas
North America";North America
Heimstaden Berlin Residential;"Europe
Western Europe";Western Europe
Yancheng Dafeng District;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Storm Resources Ltd;"Americas
North America";North America
Suedwestfalen Energie und Wass;"Europe
Western Europe";Western Europe
International Design Group SpA;"Europe
Western Europe";Western Europe
University of Massachusetts;"Americas
North America";North America
Oracle Elevator Co;"Americas
North America";North America
Visy Packaging Properties;"Asia-Pacific (ex Central Asia)
Australasia";Australia
SELP Finance SARL;"Europe
Western Europe";Western Europe
Rimrock Resource Partners LLC;"Americas
North America";North America
CPV Maryland LLC;"Americas
North America";North America
The Andersons Inc;"Americas
North America";North America
Aramis;"Europe
Western Europe";Western Europe
Nanjing Southern New Town;"Asia-Pacific (ex Central Asia)
North Asia";Asia
CVS Health Corp;"Americas
North America";North America
East Japan Railway Co;Japan;Asia
Diverzify;"Americas
North America";North America
Malnati Org Llc;"Americas
North America";North America
Hobby Lobby International Inc;"Americas
North America";North America
Hwabao Fin & Leasing Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
CSN Mineracao SA;"Americas
South America";Latin America
Liberty Grand Llc;"Americas
North America";North America
Toyotetsu America Inc;"Americas
North America";North America
Ylva;"Europe
Western Europe";Western Europe
PL Eagles Nest ECI LLC;"Americas
North America";North America
Nexant Inc;"Americas
North America";North America
Dongtai Chengdong High-Tech;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Taizhou Hongju Re Dvlp Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Sally Holdings Llc;"Americas
North America";North America
Ap Leasing 60263 Dac;"Europe
Western Europe";Western Europe
Sprague Operating Resources;"Americas
North America";North America
Aya Healthcare Inc;"Americas
North America";North America
Abdul Latif Galadari Hldg Ltd;"Africa/Middle East/Central Asia
Middle East";Africa
Warburg Pincus Asia;"Americas
North America";North America
Port of Newcastle Investments;"Asia-Pacific (ex Central Asia)
Australasia";Australia
PT Chandra Sakti Utama Leasing;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Storopack;"Americas
North America";North America
Boston Scientific Corp;"Americas
North America";North America
Yilport Holding AS;"Europe
Eastern Europe";Central and Eastern Europe
Landmark Student Transp LP;"Americas
North America";North America
Kosmos Energy Ghana HC;"Africa/Middle East/Central Asia
Sub-Saharan Africa";Africa
Cheng En Construction Corp;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Qingdao W Coast Zhicheng Re;"Asia-Pacific (ex Central Asia)
North Asia";Asia
BRK Ambiental Blumenau SA;"Americas
South America";Latin America
Prime Communications LP;"Americas
North America";North America
Energy Transfer Operating;"Americas
North America";North America
MFP Solar Sdn Bhd;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Gamma Bidco Srl;"Europe
Western Europe";Western Europe
Soda Nikka Co Ltd;Japan;Asia
Southern California Edison Co;"Americas
North America";North America
Tecnicas Reunidas SA;"Europe
Western Europe";Western Europe
Timbercreek Financial Corp;"Americas
North America";North America
Todd Petroleum Mining Co Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Taishin Finl Leasing (China);"Asia-Pacific (ex Central Asia)
North Asia";Asia
Petredec Hldg (Estn) Pte Ltd;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Archipelago Asia Focus Fund;"Americas
Caribbean";Latin America
Fortore Energia SpA;"Europe
Western Europe";Western Europe
Sekisui Kasei Co Ltd;Japan;Asia
Harvestone Grp LLC;"Americas
North America";North America
Allen Distn;"Americas
North America";North America
Hunter Fan Co;"Americas
North America";North America
Pabst Brewing Co LLC;"Americas
North America";North America
INW Manufacturing LLC;"Americas
North America";North America
ABSA Bank Ltd;"Africa/Middle East/Central Asia
Sub-Saharan Africa";Africa
Accuray Inc;"Americas
North America";North America
Allegiance Crane & Equip LLC;"Americas
North America";North America
Dst Telecomunicacoes Sgps Sa;"Europe
Western Europe";Western Europe
Sasser Family Holdings Inc;"Americas
North America";North America
Lar Do Sol Casablanca Solar;"Americas
South America";Latin America
Qarbon Aerospace Inc;"Americas
North America";North America
Lai Yih Footwear Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
ET Knoxville LLC;"Americas
North America";North America
NS Brands Ltd;"Americas
North America";North America
NEAPCO Holdings LLC;"Americas
North America";North America
DaeSan Green Energy Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Ohio Natl Finl Svcs Inc;"Americas
North America";North America
Capitaret Chengdu Fuqin Re Co;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Beijing Incity Coml Mgmt Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Capitamalls Chongqing Invest;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Zhengzhou Inreach Coml Mgmt;"Asia-Pacific (ex Central Asia)
North Asia";Asia
King William Residences Inc;"Americas
North America";North America
Sunway RNSIL MC Pvt Ltd;"Asia-Pacific (ex Central Asia)
South Asia";Asia
Perficient Inc;"Americas
North America";North America
Revlon Inc;"Americas
North America";North America
Leidos Inc;"Americas
North America";North America
Rb Scioto LLC;"Americas
North America";North America
Mevotech Inc;"Americas
North America";North America
Valkyrie Enterprises Inc;"Americas
North America";North America
Kom Ombo Concentrated Solar;"Africa/Middle East/Central Asia
North Africa";Africa
Apttus Corp;"Americas
North America";North America
Aspect Software Inc;"Americas
North America";North America
Vestas Australian Wind  Tech;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Cofomo Inc;"Americas
North America";North America
Triple Lift Inc;"Americas
North America";North America
DuPont;"Americas
North America";North America
Equinor ASA;"Europe
Western Europe";Western Europe
D4 Motorway PPP;"Eastern Europe
Europe";Central and Eastern Europe
Finadorm SAS;"Europe
Western Europe";Western Europe
Grant Thornton LLP;"Americas
North America";North America
Peraton Corp;"Americas
North America";North America
Hormel Foods Corp;"Americas
North America";North America
Jolina Capital Inc;"Americas
North America";North America
Kerverus Holding IT Cy PLC;"Europe
Western Europe";Western Europe
Prime Merger Sub LLC;"Americas
North America";North America
Sucafina Hldg Sa;"Europe
Western Europe";Western Europe
Coelba Power Distn Facilities;"Americas
South America";Latin America
Mack-Cali Realty Corp;"Americas
North America";North America
MEARF Secured Holdco LLC;"Americas
North America";North America
Joules Group PLC;"Europe
Western Europe";Western Europe
BlackRock Ppty Fund Operating;"Americas
North America";North America
CL Taizhou Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Genon Lanyard;"Americas
North America";North America
CECONOMY AG;"Europe
Western Europe";Western Europe
Hangzhou Asian Games Village;"Asia-Pacific (ex Central Asia)
North Asia";Asia
490 St Clair West Property Inc;"Americas
North America";North America
Robert Half International Inc;"Americas
North America";North America
Samuel Son & Co Ltd;"Americas
North America";North America
Majestic Steel USA Inc;"Americas
North America";North America
EF Vega SRL;"Europe
Western Europe";Western Europe
Desri Project Financing 2 Llc;"Americas
North America";North America
Spartech LLC;"Americas
North America";North America
TIBCO Software Inc;"Americas
North America";North America
BCI IV OPERATING PARTNERSHIP;"Americas
North America";North America
Appriss Health;"Americas
North America";North America
Pommier;"Europe
Western Europe";Western Europe
TPK Holding Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
AGP City Gas Pvt Ltd;"Asia-Pacific (ex Central Asia)
South Asia";Asia
United Pacific;"Americas
North America";North America
Direct ChassisLink Inc;"Americas
North America";North America
Buckeye Power Inc;"Americas
North America";North America
Burgo Group SpA;"Europe
Western Europe";Western Europe
Clinicas del SUR SLU;"Europe
Western Europe";Western Europe
Symrise Gmbh & Co Kg;"Europe
Western Europe";Western Europe
Grunenthal Pharma GmbH Co KG;"Europe
Western Europe";Western Europe
JVWEB SAS;"Europe
Western Europe";Western Europe
Kadant Inc;"Americas
North America";North America
Minto Apartment REIT;"Americas
North America";North America
Paryapt Solar Energy Pvt Ltd;"Asia-Pacific (ex Central Asia)
South Asia";Asia
Sulzle Hldg Gmbh & Co Kg;"Europe
Western Europe";Western Europe
Tong Chuang Group;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Lottus Education SAPI de CV;"Americas
Central America";Latin America
Lion Industrial Trust;"Americas
North America";North America
Colvin Oil I LLC;"Americas
North America";North America
Extensiel Sas;"Europe
Western Europe";Western Europe
Norwegian Energy Co ASA;"Europe
Western Europe";Western Europe
Pacific Dental Services Inc;"Americas
North America";North America
Raytheon Technologies Corp;"Americas
North America";North America
Ryan Transportation Service;"Americas
North America";North America
Sensient Technologies Corp;"Americas
North America";North America
Sohar International Bank SAOG;"Africa/Middle East/Central Asia
Middle East";Africa
Logistri Fastighets AB;"Europe
Western Europe";Western Europe
Ariston Thermo SpA;"Europe
Western Europe";Western Europe
China Mengniu Dairy Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Indomobil Finance;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Mavis Tire Supply Corp;"Americas
North America";North America
Insulet Corp;"Americas
North America";North America
Aeroports de Montreal;"Americas
North America";North America
AltaGas Ltd;"Americas
North America";North America
Arctic Slope Regional Corp;"Americas
North America";North America
BRP;"Americas
North America";North America
CenterPoint Properties Trust;"Americas
North America";North America
LondonMetric Property PLC;"Europe
Western Europe";Western Europe
Preferred Apartment;"Americas
North America";North America
Oaktree Specialty Lending Corp;"Americas
North America";North America
Depository Trust Co;"Americas
North America";North America
DU;"Africa/Middle East/Central Asia
Middle East";Africa
Oriflame;"Europe
Western Europe";Western Europe
Go2 Intermediate Inc;"Americas
North America";North America
Euromont Shipping Co SpA;"Europe
Western Europe";Western Europe
Solace Healthcare Group Inc;"Americas
North America";North America
Watson Road Apartments Ltd;"Americas
North America";North America
S African Bkers Svcs Co Pty;"Africa/Middle East/Central Asia
Sub-Saharan Africa";Africa
PRK Holdings I LLC;"Americas
North America";North America
Color Image Apparel Inc;"Americas
North America";North America
Traxys Europe SA;"Europe
Western Europe";Western Europe
UGI Corp;"Americas
North America";North America
Trinseo Materials Op SCA;"Americas
North America";North America
Thermo Fisher Scientific Inc;"Americas
North America";North America
US Renal Care Inc;"Americas
North America";North America
TKC Holdings Inc;"Americas
North America";North America
Surgery Center Holdings Inc;"Americas
North America";North America
Gore St Energy Storage Fund;"Europe
Western Europe";Western Europe
Idera Inc;"Americas
North America";North America
Cable One Inc;"Americas
North America";North America
Caltex Resources Ltd;"Americas
North America";North America
Alcoa Corp;"Americas
North America";North America
Global Med Reit Lp;"Americas
North America";North America
Freepoint Commodities LLC;"Americas
North America";North America
Applied Products Inc;"Americas
North America";North America
ISPT Finance Pty Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Texas Roadhouse Hldg Llc;"Americas
North America";North America
Pete & Gerry's Organics LLC;"Americas
North America";North America
SFG ISF Chicago State LLC;"Americas
North America";North America
Echelon Lakeville LLC;"Americas
North America";North America
Alpine US Bidco LLC;"Americas
North America";North America
Komatsu Finance America Inc;"Americas
North America";North America
Forge Energy II Delaware LLC;"Americas
North America";North America
Homes By W Bay Llc;"Americas
North America";North America
Andover 323 MP RK6 LLC;"Americas
North America";North America
Qantas Freight;"Asia-Pacific (ex Central Asia)
Australasia";Australia
FLNG Liquefaction 3 LLC;"Americas
North America";North America
Renew Wind Energy;"Asia-Pacific (ex Central Asia)
South Asia";Asia
Stonemont Financial Group LLC;"Americas
North America";North America
Tata Sons Pvt Ltd;"Asia-Pacific (ex Central Asia)
South Asia";Asia
Camino Natural Resources LLC;"Americas
North America";North America
Cortefiel SA;"Europe
Western Europe";Western Europe
Cedacri Mergeco Spa;"Europe
Western Europe";Western Europe
Sansyoudenko;Japan;Asia
Advance Co Ltd;Japan;Asia
CKD Corp;Japan;Asia
Apollo Build Service Co Ltd;Japan;Asia
Stanley International Ltd;Japan;Asia
Judges Scientific PLC;"Europe
Western Europe";Western Europe
Takeno Co Ltd;Japan;Asia
Daiichi Paper Co Ltd;Japan;Asia
Nexif Energy BT Pte;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Dac Holdings Co Ltd;Japan;Asia
Tidel Engineering LP;"Americas
North America";North America
Cypress Creek Finl Hldg LLC;"Americas
North America";North America
Starwest Botanicals Inc;"Americas
North America";North America
Beijing Entrps Clean Energy;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Herens Holdco Sarl;"Europe
Western Europe";Western Europe
Garrett Motion Inc;"Europe
Western Europe";Western Europe
Birkenstock & Gmbh Co Kg;"Europe
Western Europe";Western Europe
TLG Investment (HK) Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
ECL Entertainment LLC;"Americas
North America";North America
Salem Leasing Corp;"Americas
North America";North America
Magnite Inc;"Americas
North America";North America
Gogo Inc;"Americas
North America";North America
Avison Young (Canada) Inc;"Americas
North America";North America
Pq Grp Hldg Inc-Chem Business;"Americas
North America";North America
Titan Kogyo Ltd;Japan;Asia
BREEZBAY HOTEL Co Ltd;Japan;Asia
Beijing Enterprises Water Cap;"Americas
Caribbean";Latin America
Hikari Shinsei Co Ltd;Japan;Asia
Advantage Energy Income Fund;"Americas
North America";North America
Alliance Pulse Processors Inc;"Americas
North America";North America
Assicurazioni Generali SpA;"Europe
Western Europe";Western Europe
Black Stone Minerals Co LP;"Americas
North America";North America
Joseph Ribkoff Inc;"Americas
North America";North America
Barisal Elec Power Co Ltd;"Asia-Pacific (ex Central Asia)
South Asia";Asia
Lightsource Renewable Energy;"Europe
Western Europe";Western Europe
Doctor Placement GmbH;"Europe
Western Europe";Western Europe
Casa Parata Holding II GmbH;"Europe
Western Europe";Western Europe
Cologix Inc;"Americas
North America";North America
Halcyon Agri Corp Ltd;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Cityhold Jobbe SCI;"Europe
Western Europe";Western Europe
Commercial Vehicle Group Inc;"Americas
North America";North America
Dayco Products LLC;"Americas
North America";North America
Delphi Financial Group Inc;"Americas
North America";North America
Edison International Corp;"Americas
North America";North America
Entegris Inc;"Americas
North America";North America
JA Cosmetics Corp;"Americas
North America";North America
Sechler Family Foods Inc;"Americas
North America";North America
Saks.com LLC;"Americas
North America";North America
Ferronordic Mach Ab;"Europe
Western Europe";Western Europe
GLobe Electric Co Inc;"Americas
North America";North America
Watermark Insights LLC;"Americas
North America";North America
Eon Energy Pipelines Llc;"Americas
North America";North America
Heico Cos LLC;"Americas
North America";North America
HIT SAS;"Europe
Western Europe";Western Europe
Holly Energy Partners LP;"Americas
North America";North America
HollyFrontier Corp;"Americas
North America";North America
Human Holdings Co Ltd;Japan;Asia
IAA Inc;"Americas
North America";North America
Futurebud International Co Ltd;Japan;Asia
Albion At Oak Park LLC;"Americas
North America";North America
Fmg Suite Hldg Llc;"Americas
North America";North America
HLMK2;Japan;Asia
Milperra Fin Co Pty Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Metra Holding SpA;"Europe
Western Europe";Western Europe
Acadia Strategic Opportunity;"Americas
North America";North America
HFP SPV Bidco Pty Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Laboratory Corp of America;"Americas
North America";North America
Lumber Liquidators Hldgs INc;"Americas
North America";North America
Mercon Coffee Corp;"Americas
North America";North America
The Dietrich Foundation;"Americas
North America";North America
Heritage Group LLC;"Americas
North America";North America
New Era Technology Inc;"Americas
North America";North America
Auch Svcs Llc;"Americas
North America";North America
Watchfire Technologies Inc;"Americas
North America";North America
US Holdco VAD Inc;"Americas
North America";North America
Vstudent Puigcerda Sl;"Europe
Western Europe";Western Europe
Ucles Infraco S.L;"Europe
Western Europe";Western Europe
Monarch Casino & Resort Inc;"Americas
North America";North America
Al Yah Satellite Commun Co;"Africa/Middle East/Central Asia
Middle East";Africa
Omega Healthcare Investors Inc;"Americas
North America";North America
Daikokuya Inc;Japan;Asia
Justice Grown;"Americas
North America";North America
Rialto Management Group LLC;"Americas
North America";North America
Pembina Pipeline Corp;"Americas
North America";North America
OHI Healthcare;"Americas
North America";North America
Guodong Network Commun Grp Co;"Asia-Pacific (ex Central Asia)
North Asia";Asia
ZipRecruiter Inc;"Americas
North America";North America
Tu Bidco Inc;"Americas
North America";North America
VCR Holdings LLC;"Americas
North America";North America
IIF International Holding LP;"Americas
North America";North America
TLA Worldwide (Aust) Pty Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Ahead Data Blue LLC;"Americas
North America";North America
Express Wash Concepts;"Americas
North America";North America
Selene Topco LLC;"Americas
North America";North America
RHMRF1 Ltd;"Europe
Western Europe";Western Europe
Wereldhave NV;"Europe
Western Europe";Western Europe
Sterret Circle LLC;"Americas
North America";North America
Bulkmatic de Mexico S de RL;"Americas
Central America";Latin America
Heijmans NV;"Europe
Western Europe";Western Europe
Abercrombie & Fitch Co;"Americas
North America";North America
Air Lease Corp;"Americas
North America";North America
Acron PJSC;"Eastern Europe
Europe";Central and Eastern Europe
Duessmann & Hensel Recycling;"Europe
Western Europe";Western Europe
Cigna Corp;"Americas
North America";North America
Changi Airport Grp;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Euronext NV;"Europe
Western Europe";Western Europe
Margaret Productions Inc;"Americas
North America";North America
Credit Corp Group Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
DEI Sales Inc;"Americas
North America";North America
Emirates Telecommun Grp Co;"Africa/Middle East/Central Asia
Middle East";Africa
Enerplus Corp;"Americas
North America";North America
Galataport Port And Coml Re;"Europe
Eastern Europe";Central and Eastern Europe
High Power Opto Inc;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Industrias Losan SA;"Europe
Western Europe";Western Europe
Kedrion SpA;"Europe
Western Europe";Western Europe
Hong Fok Commercial Pte Ltd;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Ssw Intermediary LLC;"Americas
North America";North America
Channel Veneers Sl;"Europe
Western Europe";Western Europe
Aserpal Sa;"Europe
Western Europe";Western Europe
Consolidated Label Co;"Americas
North America";North America
SF Logistics Holdings Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Lithia Motors Inc;"Americas
North America";North America
Vestas Intl As;"Europe
Western Europe";Western Europe
Suzhou Daixin Urban Dvlp Co;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Tianjin New World Huan Bo Hai;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Jiaxing Meili Small City Dvlp;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Tenerife Bidco Sas;"Europe
Western Europe";Western Europe
SouthWest Water Co;"Americas
North America";North America
Teka Industrial SA;"Europe
Western Europe";Western Europe
Del Monte Foods Inc;"Americas
North America";North America
Meilleurtaux SASU;"Europe
Western Europe";Western Europe
Cansortium Holdings LLC;"Americas
North America";North America
Tianneng Power (Hong Kong) Co;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Autostrade Per l'Italia SpA;"Europe
Western Europe";Western Europe
United Strength Element Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Kiwetinohk Resources Corp;"Americas
North America";North America
Plain Concepts SL;"Europe
Western Europe";Western Europe
Juwi Shizen Energy Inc;Japan;Asia
QW Holding Corp;"Americas
North America";North America
Consolidated Edison Inc;"Americas
North America";North America
Dillard's Inc;"Americas
North America";North America
Nutrisens SAS;"Europe
Western Europe";Western Europe
Phoenix Tower Intl LLC;"Americas
North America";North America
Punto Fa Sl;"Europe
Western Europe";Western Europe
Greenergy Fuels Ltd;"Europe
Western Europe";Western Europe
Julphar;"Africa/Middle East/Central Asia
Middle East";Africa
Jabil Inc;"Americas
North America";North America
Kimco Income Operating;"Americas
North America";North America
Jefferies Leveraged Credit;"Americas
North America";North America
Cutlass Solar LLC;"Americas
North America";North America
Deerpath Loan Funding II LLC;"Americas
North America";North America
Energia Eolica Boreas Sl;"Europe
Western Europe";Western Europe
LGI Homes Inc;"Americas
North America";North America
Bettencourt Dairies LLC;"Americas
North America";North America
URW;"Europe
Western Europe";Western Europe
QIC Infrastructure Mgmt Pty;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Distinction Energy Corp;"Americas
North America";North America
PVH Corp;"Americas
North America";North America
Greencoat Renewables PLC;"Europe
Western Europe";Western Europe
Averda Hldg Intl Ltd;"Africa/Middle East/Central Asia
Middle East";Africa
Continental 552 Fund LLC;"Americas
North America";North America
Sepia Partenariat;"Europe
Western Europe";Western Europe
Private Export Funding Corp;"Americas
North America";North America
Rosendin Electric Inc;"Americas
North America";North America
China Merchants Capital Hldgs;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Stephenson's Rental Svcs Inc;"Americas
North America";North America
Tsubakimoto Chain Co;Japan;Asia
Vontier Corp;"Americas
North America";North America
Petrovietnam Gas Jsc;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
RSA Security Inc;"Americas
North America";North America
SubCom LLC;"Americas
North America";North America
Imagefirst Healthcare Laundry;"Americas
North America";North America
Midwest Veterinary Partners;"Americas
North America";North America
Aegea Saneamento;"Americas
South America";Latin America
Autopista Concesionaria A L S;"Europe
Western Europe";Western Europe
Cairngorm Limited;"Europe
Western Europe";Western Europe
Elkjoep Giganten;"Europe
Western Europe";Western Europe
Robor Srl;"Europe
Western Europe";Western Europe
NP Oakley Building I LLC;"Americas
North America";North America
Russell Standard Corp;"Americas
North America";North America
Koyo Automatic Machine Co Ltd;Japan;Asia
Ontime Corporate Union SL;"Europe
Western Europe";Western Europe
Shanghai Yixin Re Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Montrose Environmental Grp Inc;"Americas
North America";North America
Golden Navigator Co Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Zyia Active LLC;"Americas
North America";North America
Bloom Medicinals MO;"Americas
North America";North America
Vermont Aus Pty Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Puma International Financing;"Europe
Western Europe";Western Europe
Walmart Inc;"Americas
North America";North America
Wise Alloys LLC;"Americas
North America";North America
Aker BP ASA;"Europe
Western Europe";Western Europe
CP Merchandising Co Ltd;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Fortune Oil PRC Holdings Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Uniti Group Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
VIA Technologies Inc;"Asia-Pacific (ex Central Asia)
North Asia";Asia
